Alt Name,POS,name,Abbrev Salary,Start,Team,Opponent,DVP,Projected Points,Value,L5 AVG,L10 AVG,SZN AVG,O/U,TM Points,Unnamed: 15,Salary,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Out,>6000,OUt and over 6j,Unnamed: 46,Usuage,Final Usage,salary,proj,usage,salary_k,value_k,cheapness,pred_own,pred_own_pct,leverage_score
Kel&#x27;el Ware 																						 																 																 																	C 																	 																	 Â· $6200 																	 																 															 															 																 																	FPTS 																	38.9 																 																 																	VALUE 																	6.3x,C,Kel&#x27;el Ware,$6.2k,EXP.,MIA,ATL,23.0,38.9,6.28,40.5,30.9,31.6,250.5,123.5,$6.20,"$6,200.00",Kel&#x27;el,Ware,																						,																,																,																	C,																	,																	,Â·,"$6,200",																	,																,															,															,																,																	FPTS,38.9,																,																,																	VALUE,																	6.3x,,,,,,No,Yes,No,0.0,32.65,32.65,6200.0,38.9,32.65,6.2,6.274193548387096,-0.4879410283111023,0.06833118607613571,6.8,36.24
J. Johnson 																						 																 																 																	PF 																	 																	 Â· $10000 																	 																 															 															 																 																	FPTS 																	55.6 																 																 																	VALUE 																	5.6x,PF,Jalen Johnson,$10.0k,EXP.,ATL,MIA,12.0,55.6,5.56,57.0,61.4,53.5,250.5,127.0,$10.00,"$10,000.00",J.,Johnson,																						,																,																,																	PF,																	,																	,Â·,"$10,000",																	,																,															,															,																,																	FPTS,55.6,																,																,																	VALUE,																	5.6x,,,,,,No,Yes,No,0.0,34.1,34.1,10000.0,55.6,34.1,10.0,5.5600000000000005,-2.616986200684821,0.0682715998017649,6.8,51.8
P. Banchero 																						 																 																 																	PF 																	 																	 Â· $8700 																	 																 															 															 																 																	FPTS 																	47.3 																 																 																	VALUE 																	5.4x,PF,Paolo Banchero,$8.7k,EXP.,ORL,CHA,25.0,47.3,5.43,45.0,36.1,40.0,229.5,117.5,$8.70,"$8,700.00",P.,Banchero,																						,																,																,																	PF,																	,																	,Â·,"$8,700",																	,																,															,															,																,																	FPTS,47.3,																,																,																	VALUE,																	5.4x,,,,,,No,Yes,No,0.0,37.68,37.68,8700.0,47.3,37.68,8.7,5.436781609195402,-1.888628641714864,0.06807100017895042,6.8,44.08
S. Barnes 																						 																 																 																	PF 																	 																	 Â· $8500 																	 																 															 															 																 																	FPTS 																	45.2 																 																 																	VALUE 																	5.3x,PF,Scottie Barnes,$8.5k,EXP.,TOR,WAS,29.0,45.2,5.32,38.6,40.9,42.7,223.5,115.0,$8.50,"$8,500.00",S.,Barnes,																						,																,																,																	PF,																	,																	,Â·,"$8,500",																	,																,															,															,																,																	FPTS,45.2,																,																,																	VALUE,																	5.3x,,,,,,No,Yes,No,0.0,39.12,39.12,8500.0,45.2,39.12,8.5,5.31764705882353,-1.7765736326425634,0.06794433392007018,6.8,42.13
I. Quickley 																						 																 																 																	PG 																	 																	 Â· $6400 																	 																 															 															 																 																	FPTS 																	37.0 																 																 																	VALUE 																	5.8x,PG,Immanuel Quickley,$6.4k,EXP.,TOR,WAS,28.0,37.0,5.78,32.4,32.9,33.8,223.5,115.0,$6.40,"$6,400.00",I.,Quickley,																						,																,																,																	PG,																	,																	,Â·,"$6,400",																	,																,															,															,																,																	FPTS,37,																,																,																	VALUE,																	5.8x,,,,,,No,Yes,No,0.0,34.88,34.88,6400.0,37.0,34.88,6.4,5.78125,-0.5999960373834033,0.06791410414273222,6.8,34.49
B. Ingram 																						 																 																 																	SG 																	 																	 Â· $7500 																	 																 															 															 																 																	FPTS 																	40.9 																 																 																	VALUE 																	5.5x,SG,Brandon Ingram,$7.5k,EXP.,TOR,WAS,28.0,40.9,5.45,38.4,37.4,36.9,223.5,115.0,$7.50,"$7,500.00",B.,Ingram,																						,																,																,																	SG,																	,																	,Â·,"$7,500",																	,																,															,															,																,																	FPTS,40.9,																,																,																	VALUE,																	5.5x,,,,,,No,Yes,No,0.0,36.75,36.75,7500.0,40.9,36.75,7.5,5.453333333333333,-1.2162985872810586,0.06779957444991319,6.8,38.13
B. Portis 																						 																 																 																	PF/C 																	 																	 Â· $5900 																	 																 															 															 																 																	FPTS 																	35.2 																 																 																	VALUE 																	6.0x,PF/C,Bobby Portis,$5.9k,EXP.,MIL,MEM,22.0,35.2,5.97,34.7,30.4,24.0,228.5,111.5,$5.90,"$5,900.00",B.,Portis,																						,																,																,																	PF/C,																	,																	,Â·,"$5,900",																	,																,															,															,																,																	FPTS,35.2,																,																,																	VALUE,																	6.0x,,,,,,No,No,No,0.0,31.0,31.0,5900.0,35.2,31.0,5.9,5.966101694915254,-0.3198585147026509,0.06778821915717573,6.8,32.81
N. Powell 																						 																 																 																	SG/SF 																	 																	 Â· $7100 																	 																 															 															 																 																	FPTS 																	40.2 																 																 																	VALUE 																	5.7x,SG/SF,Norman Powell,$7.1k,EXP.,MIA,ATL,19.0,40.2,5.66,35.0,36.0,36.1,250.5,123.5,$7.10,"$7,100.00",N.,Powell,																						,																,																,																	SG/SF,																	,																	,Â·,"$7,100",																	,																,															,															,																,																	FPTS,40.2,																,																,																	VALUE,																	5.7x,,,,,,No,Yes,No,0.0,31.83,31.83,7100.0,40.2,31.83,7.1,5.661971830985916,-0.9921885691364564,0.06769106370404755,6.8,37.48
M. Diabate 																						 																 																 																	C 																	 																	 Â· $4600 																	 																 															 															 																 																	FPTS 																	29.5 																 																 																	VALUE 																	6.4x,C,Moussa Diabate,$4.6k,EXP.,CHA,ORL,16.0,29.5,6.41,22.7,19.4,23.0,229.5,112.0,$4.60,"$4,600.00",M.,Diabate,																						,																,																,																	C,																	,																	,Â·,"$4,600",																	,																,															,															,																,																	FPTS,29.5,																,																,																	VALUE,																	6.4x,,,,,,No,No,No,0.0,25.85,25.85,4600.0,29.5,25.85,4.6,6.41304347826087,0.4084990442673059,0.06765946386652733,6.8,27.5
Mark Williams 																						 																 																 																	C 																	 																	 Â· $5400 																	 																 															 															 																 																	FPTS 																	31.5 																 																 																	VALUE 																	5.8x,C,Mark Williams,$5.4k,EXP.,PHO,NO,27.0,31.5,5.83,24.7,29.3,28.9,240.5,123.0,$5.40,"$5,400.00",Mark,Williams,																						,																,																,																	C,																	,																	,Â·,"$5,400",																	,																,															,															,																,																	FPTS,31.5,																,																,																	VALUE,																	5.8x,,,,,,No,No,No,0.0,32.59,32.59,5400.0,31.5,32.59,5.4,5.833333333333333,-0.039720992021898445,0.06756851822719247,6.8,29.37
Joel Embiid 																	 Q					 																 																 																	C 																	 																	 Â· $8300 																	 																 															 															 																 																	FPTS 																	42.5 																 																 																	VALUE 																	5.1x,C,Joel Embiid &nbsp;Q,$8.3k,EXP.,PHI,CHI,28.0,42.5,5.12,40.7,39.8,37.2,240.5,121.0,$8.30,"$8,300.00",Joel,Embiid,																	,Q					,																,																,																	C,																	,																	,Â·,"$8,300",																	,																,															,															,																,																	FPTS,42.5,																,																,																	VALUE,																	5.1x,,,Q,,No,Yes,No,0.0,38.14,38.14,8300.0,42.5,38.14,8.3,5.120481927710843,-1.664518623570263,0.06748817920846617,6.7,39.63
J. Jaquez Jr. 																						 																 																 																	SG/SF 																	 																	 Â· $6000 																	 																 															 															 																 																	FPTS 																	34.4 																 																 																	VALUE 																	5.7x,SG/SF,Jaime Jaquez Jr.,$6.0k,EXP.,MIA,ATL,19.0,34.4,5.73,27.3,26.6,30.9,250.5,123.5,$6.00,"$6,000.00",J.,Jaquez,Jr.,																						,																,																,																	SG/SF,																	,																	,Â·,"$6,000",																	,																,															,															,																,																	FPTS,34.4,																,																,																	VALUE,																	5.7x,,Jr.,,,No,Yes,No,0.0,29.7,29.7,6000.0,34.4,29.7,6.0,5.733333333333333,-0.3758860192388012,0.0673374823856761,6.7,32.08
A. Wiggins 																						 																 																 																	PF 																	 																	 Â· $5700 																	 																 															 															 																 																	FPTS 																	32.5 																 																 																	VALUE 																	5.7x,PF,Andrew Wiggins,$5.7k,EXP.,MIA,ATL,21.0,32.5,5.71,24.0,29.7,30.2,250.5,123.5,$5.70,"$5,700.00",A.,Wiggins,																						,																,																,																	PF,																	,																	,Â·,"$5,700",																	,																,															,															,																,																	FPTS,32.5,																,																,																	VALUE,																	5.7x,,,,,,No,No,No,0.0,30.08,30.08,5700.0,32.5,30.08,5.7,5.701754385964912,-0.20780350563034983,0.06721973817259042,6.7,30.32
S. Mamukelashvili 																						 																 																 																	PF/C 																	 																	 Â· $5500 																	 																 															 															 																 																	FPTS 																	30.6 																 																 																	VALUE 																	5.6x,PF/C,Sandro Mamukelashvili,$5.5k,EXP.,TOR,WAS,29.0,30.6,5.57,27.9,23.9,21.3,223.5,115.0,$5.50,"$5,500.00",S.,Mamukelashvili,																						,																,																,																	PF/C,																	,																	,Â·,"$5,500",																	,																,															,															,																,																	FPTS,30.6,																,																,																	VALUE,																	5.6x,,,,,,No,No,No,0.0,33.37,33.37,5500.0,30.6,33.37,5.5,5.5636363636363635,-0.09574849655804873,0.06720511661231622,6.7,28.54
K. Porter Jr. 																						 																 																 																	PG 																	 																	 Â· $9000 																	 																 															 															 																 																	FPTS 																	45.5 																 																 																	VALUE 																	5.1x,PG,Kevin Porter Jr.,$9.0k,EXP.,MIL,MEM,16.0,45.5,5.06,46.7,46.1,43.3,228.5,111.5,$9.00,"$9,000.00",K.,Porter,Jr.,																						,																,																,																	PG,																	,																	,Â·,"$9,000",																	,																,															,															,																,																	FPTS,45.5,																,																,																	VALUE,																	5.1x,,Jr.,,,No,Yes,No,0.0,33.29,33.29,9000.0,45.5,33.29,9.0,5.055555555555555,-2.056711155323316,0.06707149960208943,6.7,42.45
D. Booker 																						 																 																 																	PG/SG 																	 																	 Â· $8900 																	 																 															 															 																 																	FPTS 																	46.1 																 																 																	VALUE 																	5.2x,PG/SG,Devin Booker,$8.9k,EXP.,PHO,NO,10.0,46.1,5.18,39.8,40.0,42.7,240.5,123.0,$8.90,"$8,900.00",D.,Booker,																						,																,																,																	PG/SG,																	,																	,Â·,"$8,900",																	,																,															,															,																,																	FPTS,46.1,																,																,																	VALUE,																	5.2x,,,,,,No,Yes,No,0.0,30.44,30.44,8900.0,46.1,30.44,8.9,5.179775280898876,-2.0006836507871655,0.06706985053559378,6.7,43.01
Kyle Kuzma 																						 																 																 																	SF/PF 																	 																	 Â· $5400 																	 																 															 															 																 																	FPTS 																	29.6 																 																 																	VALUE 																	5.5x,SF/PF,Kyle Kuzma,$5.4k,EXP.,MIL,MEM,30.0,29.6,5.48,29.2,26.0,25.1,228.5,111.5,$5.40,"$5,400.00",Kyle,Kuzma,																						,																,																,																	SF/PF,																	,																	,Â·,"$5,400",																	,																,															,															,																,																	FPTS,29.6,																,																,																	VALUE,																	5.5x,,,,,,No,No,No,0.0,33.51,33.51,5400.0,29.6,33.51,5.4,5.481481481481481,-0.039720992021898445,0.06703047910066567,6.7,27.62
Josh Giddey 																						 																 																 																	PG 																	 																	 Â· $9400 																	 																 															 															 																 																	FPTS 																	46.1 																 																 																	VALUE 																	4.9x,PG,Josh Giddey,$9.4k,EXP.,CHI,PHI,18.0,46.1,4.9,47.3,45.9,48.8,240.5,119.5,$9.40,"$9,400.00",Josh,Giddey,																						,																,																,																	PG,																	,																	,Â·,"$9,400",																	,																,															,															,																,																	FPTS,46.1,																,																,																	VALUE,																	4.9x,,,,,,No,Yes,No,0.0,35.09,35.09,9400.0,46.1,35.09,9.4,4.904255319148936,-2.2808211734679182,0.06696560474612523,6.7,43.01
O. Okongwu 																						 																 																 																	C 																	 																	 Â· $7300 																	 																 															 															 																 																	FPTS 																	39.1 																 																 																	VALUE 																	5.3x,C,Onyeka Okongwu,$7.3k,EXP.,ATL,MIA,12.0,39.1,5.35,35.3,35.1,34.2,250.5,127.0,$7.30,"$7,300.00",O.,Okongwu,																						,																,																,																	C,																	,																	,Â·,"$7,300",																	,																,															,															,																,																	FPTS,39.1,																,																,																	VALUE,																	5.3x,,,,,,No,Yes,No,0.0,28.49,28.49,7300.0,39.1,28.49,7.3,5.356164383561644,-1.1042435782087574,0.06683449985901117,6.7,36.49
N. Vucevic 																						 																 																 																	C 																	 																	 Â· $6700 																	 																 															 															 																 																	FPTS 																	34.8 																 																 																	VALUE 																	5.2x,C,Nikola Vucevic,$6.7k,EXP.,CHI,PHI,25.0,34.8,5.2,40.9,34.8,36.2,240.5,119.5,$6.70,"$6,700.00",N.,Vucevic,																						,																,																,																	C,																	,																	,Â·,"$6,700",																	,																,															,															,																,																	FPTS,34.8,																,																,																	VALUE,																	5.2x,,,,,,No,Yes,No,0.0,33.49,33.49,6700.0,34.8,33.49,6.7,5.194029850746268,-0.7680785509918547,0.06680343759969384,6.7,32.48
Trae Young 																						 																 																 																	PG 																	 																	 Â· $8800 																	 																 															 															 																 																	FPTS 																	44.1 																 																 																	VALUE 																	5.0x,PG,Trae Young,$8.8k,EXP.,ATL,MIA,14.0,44.1,5.02,38.1,39.7,37.3,250.5,127.0,$8.80,"$8,800.00",Trae,Young,																						,																,																,																	PG,																	,																	,Â·,"$8,800",																	,																,															,															,																,																	FPTS,44.1,																,																,																	VALUE,																	5.0x,,,,,,No,Yes,No,0.0,32.16,32.16,8800.0,44.1,32.16,8.8,5.011363636363636,-1.9446561462510155,0.0667895203335269,6.7,41.15
Desmond Bane 																						 																 																 																	SG 																	 																	 Â· $7700 																	 																 															 															 																 																	FPTS 																	40.4 																 																 																	VALUE 																	5.3x,SG,Desmond Bane,$7.7k,EXP.,ORL,CHA,10.0,40.4,5.25,37.7,37.0,34.1,229.5,117.5,$7.70,"$7,700.00",Desmond,Bane,																						,																,																,																	SG,																	,																	,Â·,"$7,700",																	,																,															,															,																,																	FPTS,40.4,																,																,																	VALUE,																	5.3x,,,,,,No,Yes,No,0.0,28.0,28.0,7700.0,40.4,28.0,7.7,5.246753246753246,-1.3283535963533597,0.06663022171180925,6.7,37.71
T. Maxey 																						 																 																 																	PG 																	 																	 Â· $9800 																	 																 															 															 																 																	FPTS 																	47.8 																 																 																	VALUE 																	4.9x,PG,Tyrese Maxey,$9.8k,EXP.,PHI,CHI,7.0,47.8,4.88,43.8,47.2,52.8,240.5,121.0,$9.80,"$9,800.00",T.,Maxey,																						,																,																,																	PG,																	,																	,Â·,"$9,800",																	,																,															,															,																,																	FPTS,47.8,																,																,																	VALUE,																	4.9x,,,,,,No,Yes,No,0.0,30.4,30.4,9800.0,47.8,30.4,9.8,4.877551020408163,-2.50493119161252,0.06646785459127834,6.6,44.62
J. Brown 																						 																 																 																	SF 																	 																	 Â· $9600 																	 																 															 															 																 																	FPTS 																	48.0 																 																 																	VALUE 																	5.0x,SF,Jaylen Brown,$9.6k,EXP.,BOS,IND,1.0,48.0,5.0,50.7,54.7,47.3,222.5,115.5,$9.60,"$9,600.00",J.,Brown,																						,																,																,																	SF,																	,																	,Â·,"$9,600",																	,																,															,															,																,																	FPTS,48,																,																,																	VALUE,																	5.0x,,,,,,No,Yes,No,0.0,27.01,27.01,9600.0,48.0,27.01,9.6,5.0,-2.3928761825402187,0.06638442967367672,6.6,44.81
