template,QB_name,QB_team,QB_pos,QB_opp,QB_salary,QB_proj,RB1_name,RB1_team,RB1_pos,RB1_opp,RB1_salary,RB1_proj,RB2_name,RB2_team,RB2_pos,RB2_opp,RB2_salary,RB2_proj,WR1_name,WR1_team,WR1_pos,WR1_opp,WR1_salary,WR1_proj,WR2_name,WR2_team,WR2_pos,WR2_opp,WR2_salary,WR2_proj,WR3_name,WR3_team,WR3_pos,WR3_opp,WR3_salary,WR3_proj,TE_name,TE_team,TE_pos,TE_opp,TE_salary,TE_proj,FLEX_name,FLEX_team,FLEX_pos,FLEX_opp,FLEX_salary,FLEX_proj,DST_name,DST_team,DST_pos,DST_opp,DST_salary,DST_proj,total_salary,total_proj,qb,dst,stack_team_counts_nondst
3-3-2,Justin Herbert,LAC,QB,HOU,6000,18.0,Derrick Henry,BAL,RB,GB,7200,13.8,Omarion Hampton,LAC,RB,HOU,6300,14.2,Nico Collins,HOU,WR,LAC,7400,14.5,Ladd McConkey,LAC,WR,HOU,6200,10.8,Zay Flowers,BAL,WR,GB,6400,13.6,Dalton Schultz,HOU,TE,LAC,4200,9.7,Isaiah Likely,BAL,TE,GB,3200,6.2,Chargers,LAC,DST,HOU,2900,7.5,49800,108.3,Justin Herbert (LAC) vs HOU,Chargers (LAC),BAL:3; LAC:3; HOU:2
3-3-2,Justin Herbert,LAC,QB,HOU,6000,18.0,Derrick Henry,BAL,RB,GB,7200,13.8,Omarion Hampton,LAC,RB,HOU,6300,14.2,Jayden Higgins,HOU,WR,LAC,4000,8.0,Zay Flowers,BAL,WR,GB,6400,13.6,Quentin Johnston,LAC,WR,HOU,5200,8.5,Dalton Schultz,HOU,TE,LAC,4200,9.7,Nico Collins,HOU,WR,LAC,7400,14.5,Chargers,LAC,DST,HOU,2900,7.5,49600,107.8,Justin Herbert (LAC) vs HOU,Chargers (LAC),HOU:3; LAC:3; BAL:2
4-3,Justin Herbert,LAC,QB,HOU,6000,18.0,Derrick Henry,BAL,RB,GB,7200,13.8,Omarion Hampton,LAC,RB,HOU,6300,14.2,Nico Collins,HOU,WR,LAC,7400,14.5,Zay Flowers,BAL,WR,GB,6400,13.6,Ladd McConkey,LAC,WR,HOU,6200,10.8,Oronde Gadsden II,LAC,TE,HOU,3900,7.8,Mark Andrews,BAL,TE,GB,3700,7.2,Chargers,LAC,DST,HOU,2900,7.5,50000,107.4,Justin Herbert (LAC) vs HOU,Chargers (LAC),LAC:4; BAL:3; HOU:1
3-3-2,Justin Herbert,LAC,QB,HOU,6000,18.0,Josh Jacobs Q,GB,RB,BAL,7000,11.4,Omarion Hampton,LAC,RB,HOU,6300,14.2,Zay Flowers,BAL,WR,GB,6400,13.6,Christian Watson Q,GB,WR,BAL,5000,10.6,Jayden Reed,GB,WR,BAL,4500,10.1,Oronde Gadsden II,LAC,TE,HOU,3900,7.8,Derrick Henry,BAL,RB,GB,7200,13.8,Chargers,LAC,DST,HOU,2900,7.5,49200,107.0,Justin Herbert (LAC) vs HOU,Chargers (LAC),GB:3; LAC:3; BAL:2
4-3,Justin Herbert,LAC,QB,HOU,6000,18.0,Woody Marks,HOU,RB,LAC,6000,10.4,Omarion Hampton,LAC,RB,HOU,6300,14.2,Zay Flowers,BAL,WR,GB,6400,13.6,Nico Collins,HOU,WR,LAC,7400,14.5,Ladd McConkey,LAC,WR,HOU,6200,10.8,Oronde Gadsden II,LAC,TE,HOU,3900,7.8,Dalton Schultz,HOU,TE,LAC,4200,9.7,Chargers,LAC,DST,HOU,2900,7.5,49300,106.5,Justin Herbert (LAC) vs HOU,Chargers (LAC),LAC:4; HOU:3; BAL:1
3-3-2,Justin Herbert,LAC,QB,HOU,6000,18.0,Derrick Henry,BAL,RB,GB,7200,13.8,Josh Jacobs Q,GB,RB,BAL,7000,11.4,Ladd McConkey,LAC,WR,HOU,6200,10.8,Zay Flowers,BAL,WR,GB,6400,13.6,Jayden Reed,GB,WR,BAL,4500,10.1,Luke Musgrave,GB,TE,BAL,2700,7.0,Omarion Hampton,LAC,RB,HOU,6300,14.2,Chargers,LAC,DST,HOU,2900,7.5,49200,106.4,Justin Herbert (LAC) vs HOU,Chargers (LAC),GB:3; LAC:3; BAL:2
3-3-2,Justin Herbert,LAC,QB,HOU,6000,18.0,Derrick Henry,BAL,RB,GB,7200,13.8,Woody Marks,HOU,RB,LAC,6000,10.4,Zay Flowers,BAL,WR,GB,6400,13.6,Jayden Higgins,HOU,WR,LAC,4000,8.0,Ladd McConkey,LAC,WR,HOU,6200,10.8,Dalton Schultz,HOU,TE,LAC,4200,9.7,Omarion Hampton,LAC,RB,HOU,6300,14.2,Chargers,LAC,DST,HOU,2900,7.5,49200,106.0,Justin Herbert (LAC) vs HOU,Chargers (LAC),HOU:3; LAC:3; BAL:2
4-3,Justin Herbert,LAC,QB,HOU,6000,18.0,Omarion Hampton,LAC,RB,HOU,6300,14.2,Derrick Henry,BAL,RB,GB,7200,13.8,Keenan Allen,LAC,WR,HOU,4700,8.6,Nico Collins,HOU,WR,LAC,7400,14.5,Quentin Johnston,LAC,WR,HOU,5200,8.5,Mark Andrews,BAL,TE,GB,3700,7.2,Zay Flowers,BAL,WR,GB,6400,13.6,Chargers,LAC,DST,HOU,2900,7.5,49800,105.9,Justin Herbert (LAC) vs HOU,Chargers (LAC),LAC:4; BAL:3; HOU:1
3-3-2,Malik Willis Q,GB,QB,BAL,5000,16.7,Josh Jacobs Q,GB,RB,BAL,7000,11.4,Omarion Hampton,LAC,RB,HOU,6300,14.2,Nico Collins,HOU,WR,LAC,7400,14.5,Ladd McConkey,LAC,WR,HOU,6200,10.8,Christian Watson Q,GB,WR,BAL,5000,10.6,Dalton Schultz,HOU,TE,LAC,4200,9.7,Woody Marks,HOU,RB,LAC,6000,10.4,Chargers,LAC,DST,HOU,2900,7.5,50000,105.8,Malik Willis Q (GB) vs BAL,Chargers (LAC),GB:3; HOU:3; LAC:2
4-3,Justin Herbert,LAC,QB,HOU,6000,18.0,Omarion Hampton,LAC,RB,HOU,6300,14.2,Woody Marks,HOU,RB,LAC,6000,10.4,Jayden Higgins,HOU,WR,LAC,4000,8.0,Ladd McConkey,LAC,WR,HOU,6200,10.8,Nico Collins,HOU,WR,LAC,7400,14.5,Oronde Gadsden II,LAC,TE,HOU,3900,7.8,Derrick Henry,BAL,RB,GB,7200,13.8,Chargers,LAC,DST,HOU,2900,7.5,49900,105.0,Justin Herbert (LAC) vs HOU,Chargers (LAC),LAC:4; HOU:3; BAL:1
4-3,Malik Willis Q,GB,QB,BAL,5000,16.7,Josh Jacobs Q,GB,RB,BAL,7000,11.4,Woody Marks,HOU,RB,LAC,6000,10.4,Jayden Reed,GB,WR,BAL,4500,10.1,Nico Collins,HOU,WR,LAC,7400,14.5,Christian Watson Q,GB,WR,BAL,5000,10.6,Dalton Schultz,HOU,TE,LAC,4200,9.7,Omarion Hampton,LAC,RB,HOU,6300,14.2,Texans,HOU,DST,LAC,3000,7.0,48400,104.6,Malik Willis Q (GB) vs BAL,Texans (HOU),GB:4; HOU:3; LAC:1
